Langage,Nom,Type,Description,Étoiles,Connu,Maîtrise,Priorité_apprentissage,Objectif_personnel
Python,markitdown,Autre,Python tool for converting files and office documents to Markdown.,2403,,,,
Python,localGPT,NLP,Chat with your documents on your local device using GPT models. No data leaves your device and 100% private.,45,,,,
Python,erpnext,Autre,Free and Open Source Enterprise Resource Planning (ERP),333,,,,
Python,ART,ML,"Agent Reinforcement Trainer: train multi-step agents for real-world tasks using GRPO. Give your agents on-the-job training. Reinforcement learning for Qwen2.5, Qwen3, Llama, Kimi, and more!",429,,,,
Python,mcp-agent,NLP,Build effective agents using Model Context Protocol and simple workflow patterns,50,,,,
Python,vanna,NLP,🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.,146,,,,
Python,OpenBB,Autre,"Investment Research for Everyone, Everywhere.",342,,,,
Python,mindsdb,API,AI's query engine - Platform for building AI that can answer questions over large scale federated data. - The only MCP Server you'll ever need,233,,,,
Python,graphiti,ML,Build Real-Time Knowledge Graphs for AI Agents,398,,,,
Python,qlib,ML,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.",79,,,,
Python,Second-Me,ML,"Train your AI self, amplify you, bridge the world",28,,,,
Python,KubeDiagrams,Data,"Generate Kubernetes architecture diagrams from Kubernetes manifest files, kustomization files, Helm charts, helmfiles, and actual cluster state",37,,,,
Python,Ghost-Downloader-3,ML,A cross-platform QUIC AI-boost fluent-design multi-threaded downloader built with Python.,123,,,,
Python,localstack,API,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline,44,,,,
Python,agent-zero,Web,Agent Zero AI framework,24,,,,
Python,server,API,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,8,,,,
JavaScript,ToolJet,Web,"Low-code platform for building business applications. Connect to databases, cloud storages, GraphQL, API endpoints, Airtable, Google sheets, OpenAI, etc and build apps using drag and drop application builder. Built using JavaScript/TypeScript. 🚀",110,,,,
JavaScript,Checkmate,API,"Checkmate is an open-source, self-hosted tool designed to track and monitor server hardware, uptime, response times, and incidents in real-time with beautiful visualizations. Don't be shy, join here: https://discord.com/invite/NAb6H3UTjK :)",409,,,,
JavaScript,webvm,Web,Virtual Machine for the Web,39,,,,
JavaScript,decap-cms,Web,A Git-based CMS for Static Site Generators,7,,,,
JavaScript,meshery,Autre,"Meshery, the cloud native manager",5,,,,
JavaScript,WebGL-Fluid-Simulation,Web,Play with fluids in your browser (works even on mobile),3,,,,
JavaScript,openzeppelin-contracts-upgradeable,Autre,"Upgradeable variant of OpenZeppelin Contracts, meant for use in upgradeable contracts.",0,,,,
JavaScript,react,Web,The library for web and native user interfaces.,59,,,,
JavaScript,create-react-app,Web,Set up a modern web app by running one command.,10,,,,
JavaScript,axios,Web,Promise based HTTP client for the browser and node.js,9,,,,
JavaScript,semantic-release,Autre,📦🚀 Fully automated version management and package publishing,6,,,,
JavaScript,webpack,Web,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",2,,,,
Rust,amazon-q-developer-cli,Autre,✨ Agentic chat experience in your terminal. Build applications using natural language.,16,,,,
Rust,rustdesk,Autre,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",133,,,,
Rust,helix,NLP,A post-modern modal text editor.,38,,,,
